id,name_ja,name_en,local_name,ingredient_family,base_ingredients,form,shape,processing,cooking_method,fermented,texture,region,country_area,served_with,staple_level,search_keywords,similar_foods,notes,source_url,confidence,review_status,production_volume_note,price_level,cultivation_ease,satiety_level,calories_kcal_per_100g,calorie_basis,deliciousness_level,sweetness_level,taste_profile,storage_duration,storage_method,popularity_level,metrics_source_url,metrics_confidence,metrics_note
1,ご飯,Cooked rice,,grain,rice,grain dish,粒状,精米,炊く,false,ふっくら/粒状,East Asia,"Japan, Korea, China, Southeast Asia","おかず, 汁物",primary_staple,"米,ごはん,炊く,粒,アジア","粥,ビリヤニ,リゾット",米を炊いた最も基本的な主食形態,https://www.fao.org/4/U8480E/U8480E07.htm,0.9,starter,very_high_global_crop; see FAOSTAT,medium,medium,high,130,cooked,subjective_medium_high,low,mild,short_prepared,eat fresh or refrigerate cooked portions,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
2,粥,Rice porridge,Congee/Jook,grain,rice,porridge,粥,精米,煮る,false,柔らかい/とろみ,East Asia,"China, Japan, Korea, Southeast Asia","漬物, 肉, 魚, 薬味",primary_or_secondary,"米,粥,煮る,中国,朝食","ご飯,カーシャ",中国では日常的な主食・朝食としても扱われる,https://www.meiji.co.jp/meiji-shokuiku/worldculture/staplefood/,0.88,starter,very_high_global_crop; see FAOSTAT,medium,medium,medium,80,cooked porridge average,subjective_medium_high,low,mild,short_prepared,eat fresh or refrigerate cooked portions,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
3,フォー,Pho noodles,Phở,grain,rice,noodle,平麺,"米粉化, 成形",茹でる,false,つるつる,Southeast Asia,Vietnam,"スープ, 肉, 香草",primary_staple,"米,麺,平麺,ベトナム,スープ","ブン,米粉麺",ベトナムの米麺。明治ページでも米の加工例として紹介,https://www.meiji.co.jp/meiji-shokuiku/worldculture/staplefood/,0.92,starter,very_high_global_crop; see FAOSTAT,medium,medium,medium,150,cooked noodle/pasta average,subjective_medium_high,low,mild,short_prepared,eat fresh or refrigerate cooked portions,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
4,ブン,Rice vermicelli,Bún,grain,rice,noodle,細麺,"米粉化, 成形",茹でる,false,つるつる/軽い,Southeast Asia,Vietnam,"汁, 肉, 野菜, ヌクチャム",primary_or_common,"米,細麺,ベトナム,ブン","フォー,米粉麺",米から作る丸い細麺,https://www.meiji.co.jp/meiji-shokuiku/worldculture/staplefood/,0.86,starter,very_high_global_crop; see FAOSTAT,medium,medium,medium,150,cooked noodle/pasta average,subjective_medium_high,low,mild,short_prepared,eat fresh or refrigerate cooked portions,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
5,ライスペーパー,Rice paper,Bánh tráng,grain,rice,sheet,薄いシート,"米粉化, 薄く伸ばす, 乾燥",戻す/巻く,false,薄い/もちっと,Southeast Asia,Vietnam,"野菜, 肉, 魚介を巻く",common_side,"米,シート,薄い,巻く,ベトナム","トルティーヤ,春巻きの皮",米を薄く伸ばして乾燥した食品,https://www.meiji.co.jp/meiji-shokuiku/worldculture/staplefood/,0.84,starter,very_high_global_crop; see FAOSTAT,medium,medium,medium,130,cooked,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
6,餅,Mochi,,grain,glutinous rice,pounded cake,塊/団子,搗く,焼く/煮る/蒸す,false,もちもち/粘る,East Asia,Japan,"醤油, あん, 汁物",secondary_or_ritual,"米,もち米,搗く,もちもち,日本","年糕,トック",もち米を搗いて作る主食・行事食,https://www.fao.org/4/U8480E/U8480E07.htm,0.74,starter,very_high_global_crop; see FAOSTAT,medium,medium,high,130,cooked,subjective_medium,low,"mild, toasty",short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
7,ビリヤニ,Biryani,Biryani,grain,rice,seasoned rice dish,粒状,香辛料調理,炊く/蒸す,false,パラパラ/香り,South Asia,"India, Pakistan, Bangladesh","肉, 野菜, ライタ",primary_or_special,"米,スパイス,南アジア,炊き込み","プラオ,ピラフ",米料理の代表的な主食の一つ,https://en.wikipedia.org/wiki/Staple_food,0.7,starter,very_high_global_crop; see FAOSTAT,medium,medium,high,130,cooked,subjective_medium_high,low,spiced,short_prepared,eat fresh or refrigerate cooked portions,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
8,リゾット,Risotto,Risotto,grain,rice,rice dish,粒状/クリーミー,"炒める, 煮る",煮る,false,クリーミー,Europe,Italy,"チーズ, 野菜, 肉, 魚介",secondary_or_common,"米,イタリア,クリーミー,煮る","ピラフ,パエリア",イタリアの米料理,https://en.wikipedia.org/wiki/Staple_food,0.65,starter,very_high_global_crop; see FAOSTAT,medium,medium,high,130,cooked,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
9,パエリア,Paella,Paella,grain,rice,rice dish,粒状,"炒める, 炊く",炊く/焼く,false,パラパラ,Europe,Spain,"魚介, 肉, 野菜",common_or_festive,"米,スペイン,魚介,鍋","ビリヤニ,ピラフ",スペインの米料理,https://en.wikipedia.org/wiki/Staple_food,0.65,starter,very_high_global_crop; see FAOSTAT,medium,medium,high,130,cooked,subjective_medium,low,"mild, toasty",short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
10,イドゥリ,Idli,Idli,grain_legume,"rice, urad dal",steamed cake,丸いケーキ,"浸水, 挽く, 発酵",蒸す,true,ふわふわ/酸味少し,South Asia,"South India, Sri Lanka","サンバル, チャツネ",primary_breakfast,"米,豆,発酵,蒸す,南インド","ドーサ,アッパム",米と豆の発酵生地を蒸した主食・朝食,https://en.wikipedia.org/wiki/Staple_food,0.68,starter,very_high_global_crop; see FAOSTAT,medium,medium,high,130,cooked,subjective_medium_high,low,"fermented, sour",short_prepared,eat fresh or refrigerate cooked portions,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
