ingredient_name_en,ingredient_name_ja,ingredient_family,production_volume_level,production_volume_note,price_level,cultivation_ease,satiety_basis,calories_kcal_per_100g_basic,calorie_basis,storage_duration,storage_method,representative_staples,source_url,confidence,note
amaranth,,pseudocereal,regional,regional_or_mixed_ingredient; needs review,medium,medium,starchy staple ingredient,,varies,medium,depends on preparation,Amaranth grain,https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
barley,大麦,grain,high,high_temperate_cereal; see FAOSTAT,low,medium,starchy staple ingredient,123,cooked barley,long,dry grain airtight,"Bread, Cuchuco, Kasha",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
beans,豆類,"grain_legume, grain_tuber, legume_grain, legume_root",high,high_pulse_crop; see FAOSTAT pulses,low,medium,starchy staple ingredient,127,cooked beans,long,dry beans airtight,"Dosa, Ful medames with bread, Gallo pinto, Glass noodles, Idli, Jianbing, Locro, Rice and beans",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
black-eyed peas,黒目豆,legume,regional,regional_or_mixed_ingredient; needs review,medium,medium,starchy staple ingredient,,varies,medium,depends on preparation,Acaraje,https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
breadfruit,パンノキ,"animal_fruit_starch, fruit_starch, root_fruit",regional,regional_tropical_starch_fruit,medium,medium,starchy staple ingredient,103,cooked breadfruit,short,fresh short; cooked refrigerated,"Breadfruit, Fish and breadfruit, Laplap, Roasted breadfruit",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
buckwheat,蕎麦,"grain, pseudocereal",regional,regional_pseudocereal,medium,medium,starchy staple ingredient,92,cooked groats/noodle average,long,dry grain/flour airtight,"Blini, Galette Bretonne, Kasha, Naengmyeon, Soba",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
cassava,キャッサバ,"grain_root, root, root_dairy, root_fruit",high,high_tropical_root_crop; see FAOSTAT,low,high,starchy staple ingredient,160,boiled root/product average,medium_long,dried/fermented products airtight,"Akple, Attiéké, Banku, Casabe, Cassava staple, Eba, Farofa / Cassava flour, Fufu",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
chickpeas,ひよこ豆,"legume, legume_grain",high,high_pulse_crop; see FAOSTAT pulses,medium,medium,starchy staple ingredient,164,cooked chickpeas,long,dry chickpeas airtight,"Dhokla, Farinata, Hummus with flatbread, Socca",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
coconut,,"grain, tuber_fruit",regional,regional_or_mixed_ingredient; needs review,medium,medium,starchy staple ingredient,,varies,medium,depends on preparation,"Appam, Palusami",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
durum wheat,デュラム小麦,grain,high,high_global_crop; see FAOSTAT wheat,medium,medium,starchy staple ingredient,158,cooked pasta,long,dry pasta airtight,"Pasta, Spaghetti",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
fat,,animal,regional,regional_or_mixed_ingredient; needs review,medium,medium,starchy staple ingredient,,varies,medium,depends on preparation,Pemmican,https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
fish,,"animal_fruit_starch, animal_grain",regional,regional_or_mixed_ingredient; needs review,medium,medium,starchy staple ingredient,,varies,medium,depends on preparation,"Fish and breadfruit, Fish and rice",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
lentils,レンズ豆,"grain_legume, legume",high,high_pulse_crop; see FAOSTAT pulses,low,medium,starchy staple ingredient,116,cooked lentils,long,dry lentils airtight,"Dal, Khichdi, Mujaddara",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
maize,トウモロコシ,"grain, grain_legume, grain_root, grain_tuber",very_high,very_high_global_crop; see FAOSTAT,low,medium_high,starchy staple ingredient,110,cooked maize product,long,dry grain/flour airtight,"Akple, Arepa, Atole, Banku, Cachapa, Canjica, Chilaquiles, Cornbread",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
meat,肉,animal,non_crop_or_animal,livestock/animal food; not crop,high,n/a,protein/fat rich staple component,250,varies,short,refrigerated/frozen/dried,"Meat staple, Pemmican",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
milk,乳,"animal, root_dairy",non_crop_or_animal,livestock/animal food; not crop,medium,n/a,protein/fat rich staple component,61,fluid milk,short,refrigerated or fermented,"Milk/dairy staple, Pão de queijo",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
